Start: (0.16, 0.16), Iterations: 41.0, Height: 0.744147 
Start: (0.68, 0.16), Iterations: 67.0, Height: 1.056492 
Start: (1.21, 0.16), Iterations: 85.0, Height: 0.744147 
Start: (1.74, 0.16), Iterations: 73.0, Height: 0.196794 
Start: (2.26, 0.16), Iterations: 41.0, Height: 1.207130 
Start: (2.79, 0.16), Iterations: 13.0, Height: 3.000000 
Start: (3.32, 0.16), Iterations: 33.0, Height: 0.291594 
Start: (3.84, 0.16), Iterations: 53.0, Height: 3.000000 
Start: (4.37, 0.16), Iterations: 87.0, Height: 1.646255 
Start: (4.89, 0.16), Iterations: 67.0, Height: 0.196794 
Start: (5.42, 0.16), Iterations: 93.0, Height: 3.000000 
Start: (5.95, 0.16), Iterations: 73.0, Height: 3.000000 
Start: (6.47, 0.16), Iterations: 41.0, Height: 0.291594 
Start: (7.00, 0.16), Iterations: 73.0, Height: 2.397101 
Start: (-3.00, 0.68), Iterations: 61.0, Height: 0.233544 
Start: (-2.47, 0.68), Iterations: 41.0, Height: 2.069271 
Start: (-1.95, 0.68), Iterations: 41.0, Height: 1.646255 
Start: (-1.42, 0.68), Iterations: 65.0, Height: 3.000000 
Start: (-0.89, 0.68), Iterations: 33.0, Height: 1.207130 
Start: (-0.37, 0.68), Iterations: 87.0, Height: 0.567170 
Start: (0.16, 0.68), Iterations: 33.0, Height: 1.207130 
Start: (0.68, 0.68), Iterations: 67.0, Height: 0.196794 
Start: (1.21, 0.68), Iterations: 33.0, Height: 3.000000 
Start: (1.74, 0.68), Iterations: 53.0, Height: 1.854695 
Start: (2.26, 0.68), Iterations: 73.0, Height: 2.081189 
Start: (2.79, 0.68), Iterations: 100.0, Height: 2.397101 
Start: (3.32, 0.68), Iterations: 7.0, Height: 3.000000 
Start: (3.84, 0.68), Iterations: 7.0, Height: 1.854695 
Start: (4.37, 0.68), Iterations: 85.0, Height: 1.056492 
Start: (4.89, 0.68), Iterations: 53.0, Height: 0.233544 
Start: (5.42, 0.68), Iterations: 45.0, Height: 1.056492 
Start: (5.95, 0.68), Iterations: 45.0, Height: 3.000000 
Start: (6.47, 0.68), Iterations: 61.0, Height: 0.567170 
Start: (7.00, 0.68), Iterations: 93.0, Height: 1.207130 
Start: (-3.00, 1.21), Iterations: 81.0, Height: 0.744147 
Start: (-2.47, 1.21), Iterations: 25.0, Height: 0.291594 
Start: (-1.95, 1.21), Iterations: 7.0, Height: 1.854695 
Start: (-1.42, 1.21), Iterations: 33.0, Height: 0.744147 
Start: (-0.89, 1.21), Iterations: 45.0, Height: 2.464491 
Start: (-0.37, 1.21), Iterations: 93.0, Height: 2.464491 
Start: (0.16, 1.21), Iterations: 67.0, Height: 2.289754 
Start: (0.68, 1.21), Iterations: 53.0, Height: 1.646255 
Start: (1.21, 1.21), Iterations: 93.0, Height: 0.291594 
Start: (1.74, 1.21), Iterations: 41.0, Height: 2.464491 
Start: (2.26, 1.21), Iterations: 53.0, Height: 0.567170 
Start: (2.79, 1.21), Iterations: 21.0, Height: 2.397101 
Start: (3.32, 1.21), Iterations: 81.0, Height: 0.567170 
Start: (3.84, 1.21), Iterations: 53.0, Height: 2.069271 
Start: (4.37, 1.21), Iterations: 21.0, Height: 2.081189 
Start: (4.89, 1.21), Iterations: 93.0, Height: 0.291594 
Start: (5.42, 1.21), Iterations: 81.0, Height: 1.056492 
Start: (5.95, 1.21), Iterations: 87.0, Height: 1.646255 
Start: (6.47, 1.21), Iterations: 67.0, Height: 2.069271 
Start: (7.00, 1.21), Iterations: 21.0, Height: 3.000000 
Start: (-3.00, 1.74), Iterations: 47.0, Height: 2.069271 
Start: (-2.47, 1.74), Iterations: 100.0, Height: 1.854695 
Start: (-1.95, 1.74), Iterations: 25.0, Height: 0.233544 
Start: (-1.42, 1.74), Iterations: 33.0, Height: 3.000000 
